56,10B,66
56,10C,1517
69,10D,13
69,104,40
56,111,30
57,110,16
56,10C,1553
69,10D,14
70,104,38
55,111,30
56,10E,39
56,10C,1592
69,10D,15
70,104,38
56,111,30
56,10C,1647
76,10D,16
67,104,39
57,111,30
56,10B,70
56,10C,1712
69,10D,17
70,104,39
67,111,31
64,110,18
56,10C,1800
70,10D,19
67,104,40
57,111,31
56,10E,42
57,10C,1902
68,10D,20
71,104,39
54,111,31
57,10C,1959
69,10D,21
68,104,41
57,111,32
56,10B,70
56,10C,2060
69,10D,22
70,104,40
55,111,32
56,110,23
56,10C,2141
76,10D,23
69,104,41
56,111,32
58,10E,42
55,10C,2222
70,10D,24
68,104,41
55,111,32
58,10C,2062
67,10D,24
57,104,44
57,111,32
56,10B,71
57,10C,1776
74,10D,25
69,104,50
56,111,34
57,110,22
57,10C,1746
68,10D,26
74,104,47
60,111,34
59,10E,40
56,10C,1845
69,10D,27
69,104,46
56,111,34
57,10C,1861
69,10D,28
68,104,48
57,111,34
56,10B,80
59,10C,1883
74,10D,29
68,104,47
57,111,34
54,110,24
57,10C,1931
68,10D,31
71,104,47
55,111,34
57,10E,39
56,10C,1985
69,10D,32
68,104,47
56,111,34
57,10C,2014
68,10D,32
57,104,46
56,111,34
56,10B,78
57,10C,2062
69,10D,33
69,104,46
57,111,34
62,110,26
56,10C,2120
69,10D,35
68,104,46
57,111,33
57,10E,40
55,10C,2176
70,10D,36
67,104,44
62,111,33
57,10C,2230
70,10D,37
68,104,38
57,111,32
56,10B,58
63,10C,2234
69,10D,37
59,104,38
53,111,31
58,110,22
54,10C,2245
69,10D,38
82,104,39
62,111,31
57,10E,13
57,10C,1764
74,10D,38
61,104,48
60,111,32
60,10C,1629
70,10D,39
68,104,44
57,111,33
59,10B,80
53,10C,1702
70,10D,39
55,104,45
59,111,33
63,110,21
53,10C,1734
71,10D,40
67,104,45
58,111,33
55,10E,40
57,10C,1768
67,10D,40
58,104,45
55,111,33
59,10C,1782
75,10D,41
66,104,45
59,111,33
61,10B,80
56,10C,1785
69,10D,42
68,104,44
58,111,33
54,110,21
59,10C,1790
67,10D,42
58,104,46
54,111,33
57,10E,40
57,10C,1808
74,10D,43
72,104,45
53,111,33
58,10C,1818
67,10D,43
57,104,44
57,111,33
57,10B,79
55,10C,1822
69,10D,44
69,104,45
56,111,33
56,110,22
57,10C,1825
68,10D,44
59,104,44
54,111,33
56,10E,40
57,10C,1833
74,10D,45
71,104,43
54,111,32
58,10C,1838
67,10D,45
58,104,42
55,111,32
57,10B,76
57,10C,1833
68,10D,46
69,104,43
56,111,32
56,110,21
57,10C,1849
68,10D,46
58,104,43
55,111,32
56,10E,41
58,10C,1861
67,10D,47
69,104,42
56,111,32
56,10C,1879
69,10D,47
56,104,41
59,111,32
61,10B,74
56,10C,1879
70,10D,47
55,104,42
75,111,32
56,110,20
57,10C,1904
68,10D,48
69,104,53
56,111,41
57,10E,34
57,10C,2028
93,10D,48
58,104,63
56,111,44
56,10C,2159
69,10D,49
68,104,69
56,111,46
57,10B,95
55,10C,2260
69,10D,50
70,104,74
57,111,49
55,110,46
57,10C,2346
68,10D,52
69,104,74
56,111,38
56,10E,34
57,10C,2263
68,10D,53
69,104,50
56,111,29
58,10C,2079
68,10D,53
57,104,13
56,111,22
55,10B,34
58,10C,1906
